Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,85.0,86.0,85.0,85.0,54.65729522705078,850
1996-01-02,83.25,86.75,83.25,85.25,54.81806182861328,3100
1996-01-03,86.1500015258789,86.25,86.0,86.25,55.461082458496094,450
1996-01-04,86.0,87.0,86.0,87.0,55.943355560302734,300
1996-01-05,85.5,86.5,85.5,86.0,55.30032730102539,1900
1996-01-08,86.0,86.5,85.0,85.0,54.65729522705078,3700
1996-01-09,85.0,84.9000015258789,84.0,84.0,54.0142707824707,1250
1996-01-10,85.0,85.0,84.19999694824219,84.19999694824219,54.142879486083984,400
1996-01-11,84.5,84.5,83.9000015258789,83.94999694824219,53.98212432861328,900
1996-01-12,84.0,86.5,83.0,83.0,53.37123489379883,1250
1996-01-15,83.0,83.0,82.0,82.94999694824219,53.33910369873047,850
1996-01-16,80.5,82.0,80.05000305175781,81.5,52.40670394897461,500
1996-01-17,80.05000305175781,80.05000305175781,80.05000305175781,80.05000305175781,51.47431564331055,50
1996-01-18,81.0,83.0,81.0,81.94999694824219,52.696067810058594,300
1996-01-19,80.8499984741211,80.8499984741211,79.5,80.0,51.442176818847656,200
1996-01-22,80.0,76.0,76.0,76.0,48.87005615234375,50
1996-01-23,83.0,83.0,81.0,81.0,52.08518600463867,1050
1996-01-24,78.0,78.5,76.80000305175781,78.44999694824219,50.445472717285156,900
1996-01-25,78.44999694824219,79.25,78.5,79.0999984741211,50.863441467285156,2300
1996-01-26,79.0999984741211,79.0999984741211,79.0999984741211,79.0999984741211,50.863441467285156,0
1996-01-29,79.0999984741211,80.44999694824219,79.0,80.25,51.60292434692383,850
1996-01-30,80.25,82.0,79.0,82.0,52.72822952270508,7800
1996-01-31,82.0,83.0,82.0,83.0,53.37123489379883,7950
1996-02-01,83.5,84.0,83.5,84.0,54.0142707824707,350
1996-02-02,84.0,88.5,85.0,88.19999694824219,56.71498107910156,11350
1996-02-05,88.19999694824219,92.0,88.05000305175781,89.55000305175781,57.58308410644531,13300
1996-02-06,89.55000305175781,93.0,89.0,90.9000015258789,58.4511604309082,10350
1996-02-07,90.9000015258789,90.0,89.0,89.69999694824219,57.67952346801758,2150
1996-02-08,90.75,94.0,90.05000305175781,93.80000305175781,60.315940856933594,6350
1996-02-09,93.0,99.0,93.0,97.05000305175781,62.40580368041992,5550
1996-02-12,97.05000305175781,106.5,100.0,100.1500015258789,64.3991470336914,6250
1996-02-13,100.1500015258789,98.0,91.0,94.5,60.766056060791016,5950
1996-02-14,94.5,104.0,100.25,103.4000015258789,66.489013671875,4450
