Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,281.0,291.79998779296875,242.5500030517578,268.3500061035156,266.81512451171875,231338
2020-02-13,269.95001220703125,269.95001220703125,257.6000061035156,263.75,262.2414245605469,48266
2020-02-14,265.04998779296875,284.3999938964844,265.0,272.75,271.18994140625,79240
2020-02-17,280.70001220703125,297.75,265.0,267.70001220703125,266.1688537597656,58283
2020-02-18,269.0,269.8999938964844,247.5,260.20001220703125,258.71173095703125,38558
2020-02-19,264.95001220703125,269.45001220703125,260.45001220703125,261.95001220703125,260.4517517089844,33961
2020-02-20,263.0,265.0,254.9499969482422,256.29998779296875,254.8340301513672,17903
2020-02-24,261.3999938964844,261.3999938964844,246.0500030517578,248.64999389648438,247.227783203125,15553
2020-02-25,248.0,255.0,245.0,245.1999969482422,243.79751586914062,15006
2020-02-26,244.9499969482422,244.9499969482422,227.14999389648438,235.8000030517578,234.4512939453125,34277
2020-02-27,235.0,236.89999389648438,191.0,232.60000610351562,231.2696075439453,42244
2020-02-28,221.35000610351562,225.85000610351562,215.10000610351562,217.89999389648438,216.65365600585938,24073
2020-03-02,225.0,229.0,210.14999389648438,213.64999389648438,212.427978515625,17135
2020-03-03,215.10000610351562,229.9499969482422,199.8000030517578,204.89999389648438,203.72802734375,23245
2020-03-04,206.0,208.0,197.0,198.1999969482422,197.06634521484375,16976
2020-03-05,199.6999969482422,204.5500030517578,191.0,200.5500030517578,199.40292358398438,28153
2020-03-06,186.75,200.0,180.14999389648438,197.85000610351562,196.71836853027344,24519
2020-03-09,190.35000610351562,190.35000610351562,176.4499969482422,184.25,183.19613647460938,23270
2020-03-11,184.0,198.0,180.0500030517578,187.14999389648438,186.07955932617188,21416
2020-03-12,183.0,183.0500030517578,161.25,164.0500030517578,163.11167907714844,24941
2020-03-13,151.0500030517578,177.0,131.3000030517578,161.0500030517578,160.12884521484375,40487
2020-03-16,159.0,160.0500030517578,149.0,149.8000030517578,148.9431915283203,20133
2020-03-17,154.9499969482422,154.9499969482422,139.1999969482422,145.10000610351562,144.2700653076172,17006
2020-03-18,145.10000610351562,151.9499969482422,138.10000610351562,146.35000610351562,145.51292419433594,16189
2020-03-19,145.9499969482422,151.0,131.5500030517578,140.14999389648438,139.348388671875,19449
2020-03-20,142.0,158.0,138.0,147.10000610351562,146.25863647460938,15993
2020-03-23,130.14999389648438,149.0,125.0,129.14999389648438,128.4113006591797,23553
2020-03-24,129.14999389648438,140.0,126.0,135.0,134.2278289794922,10255
2020-03-25,123.05000305175781,140.0,123.05000305175781,137.0500030517578,136.26611328125,29885
2020-03-26,130.0,160.8000030517578,130.0,146.75,145.91062927246094,33106
2020-03-27,159.9499969482422,160.0,138.0,146.60000610351562,145.76148986816406,28873
2020-03-30,146.60000610351562,164.39999389648438,135.14999389648438,149.0,148.1477508544922,33299
2020-03-31,155.0,160.0,149.8000030517578,157.89999389648438,156.99685668945312,15980
2020-04-01,160.0,162.89999389648438,152.10000610351562,155.35000610351562,154.46144104003906,8214
2020-04-03,156.89999389648438,156.89999389648438,125.55000305175781,146.60000610351562,145.76148986816406,24117
2020-04-07,158.5,167.6999969482422,146.0,162.89999389648438,161.96824645996094,38548
2020-04-08,164.89999389648438,175.0,158.0,165.6999969482422,164.7522430419922,31033
2020-04-09,173.5500030517578,174.89999389648438,166.10000610351562,170.5500030517578,169.57449340820312,32507
2020-04-13,175.10000610351562,177.39999389648438,160.0500030517578,168.25,167.28765869140625,21334
2020-04-15,172.9499969482422,174.0,160.0,162.10000610351562,161.17283630371094,35936
2020-04-16,164.0,170.5,159.10000610351562,169.5500030517578,168.58023071289062,30078
2020-04-17,174.0,174.0,165.3000030517578,172.9499969482422,171.9607696533203,37894
2020-04-20,176.39999389648438,178.1999969482422,172.3000030517578,175.8000030517578,174.7944793701172,28142
2020-04-21,179.0,180.0,166.0,167.85000610351562,166.88995361328125,49012
2020-04-22,168.0,173.4499969482422,164.3000030517578,171.14999389648438,170.1710662841797,14754
