Date,Open,High,Low,Close,Adj Close,Volume
2007-01-31,83.5,84.375,74.75,74.9749984741211,44.152950286865234,7476
2007-02-01,74.0250015258789,77.0,70.5,76.9749984741211,45.33076477050781,2082
2007-02-02,76.0,76.0,73.05000305175781,73.05000305175781,43.019317626953125,484
2007-02-05,78.44999694824219,84.4000015258789,77.5,77.92500305175781,45.89021682739258,1180
2007-02-06,84.0,84.0,78.05000305175781,78.05000305175781,45.963836669921875,90
2007-02-07,74.0,83.0,74.0,75.7750015258789,44.62407302856445,4600
2007-02-08,79.625,79.625,78.0,78.05000305175781,45.963836669921875,650
2007-02-09,71.17500305175781,80.0,71.17500305175781,75.0250015258789,44.18240737915039,1030
2007-02-12,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,42.283199310302734,50
2007-02-13,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,42.283199310302734,0
2007-02-14,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,42.283199310302734,0
2007-02-15,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,42.283199310302734,0
2007-02-19,71.5250015258789,74.5,71.5250015258789,74.5,43.873226165771484,404
2007-02-20,72.0,77.5,72.0,74.0,43.57878112792969,26000
2007-02-21,74.0,74.0,74.0,74.0,43.57878112792969,0
2007-02-22,72.0,77.0,72.0,74.6500015258789,43.96156311035156,16000
2007-02-23,71.5,77.75,71.4000015258789,73.0,42.9898796081543,52250
2007-02-26,70.6500015258789,70.6500015258789,70.5,70.5,41.517616271972656,400
2007-02-27,70.0999984741211,77.2249984741211,70.0999984741211,70.375,41.44400405883789,140
2007-02-28,69.0,74.5,69.0,71.5,42.10652160644531,4400
2007-03-01,69.94999694824219,74.05000305175781,69.94999694824219,70.42500305175781,41.473453521728516,8250
2007-03-02,71.0,71.0,67.5999984741211,69.625,41.00232696533203,150
2007-03-05,62.5,75.0,62.5,69.5999984741211,40.98759841918945,28860
2007-03-06,69.5999984741211,69.5999984741211,69.5999984741211,69.5999984741211,40.98759841918945,0
2007-03-07,68.0,69.25,67.0,69.25,40.781490325927734,520
2007-03-08,70.5,70.5,67.5,69.0,40.63425827026367,4450
