Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,350.0,354.8999938964844,348.0,350.70001220703125,277.8282165527344,1529
2002-07-02,353.29998779296875,354.70001220703125,341.75,342.70001220703125,271.4905700683594,1583
2002-07-03,352.8999938964844,352.8999938964844,337.5,339.3500061035156,268.8367004394531,2875
2002-07-04,342.0,344.0,337.0,340.20001220703125,269.51007080078125,4179
2002-07-05,341.54998779296875,349.0,340.0,342.04998779296875,270.9755554199219,2639
2002-07-08,348.95001220703125,370.0,343.70001220703125,353.6000061035156,280.1256103515625,3341
2002-07-09,364.29998779296875,365.0,351.1000061035156,351.75,278.6600341796875,3370
2002-07-10,352.1000061035156,353.0,344.95001220703125,347.3500061035156,275.1744079589844,1159
2002-07-11,345.0,345.0,340.1000061035156,341.29998779296875,270.3815002441406,1806
2002-07-12,347.6000061035156,347.6000061035156,339.25,340.3500061035156,269.6289367675781,565
2002-07-15,332.04998779296875,344.20001220703125,330.0,341.29998779296875,270.3815002441406,984
2002-07-16,331.04998779296875,340.5,331.04998779296875,340.04998779296875,269.39117431640625,1442
2002-07-17,340.0,341.0,334.20001220703125,335.1499938964844,265.5093078613281,939
2002-07-18,339.0,341.8500061035156,334.0,335.1000061035156,265.4698181152344,1069
2002-07-19,334.1499938964844,339.6499938964844,334.1499938964844,335.95001220703125,266.14312744140625,619
2002-07-22,330.0,344.8999938964844,324.29998779296875,337.6499938964844,267.4898986816406,2585
2002-07-23,345.0,345.0,328.0,332.70001220703125,263.5685119628906,1472
2002-07-24,328.45001220703125,341.0,328.45001220703125,338.1499938964844,267.885986328125,1673
2002-07-25,340.0,343.5,334.1499938964844,340.0,269.35162353515625,2177
2002-07-26,335.0,343.8999938964844,333.5,336.79998779296875,266.8165283203125,2394
2002-07-29,331.0,335.0,312.70001220703125,320.1000061035156,253.5865936279297,2316
2002-07-30,325.0,325.0,315.1499938964844,319.6000061035156,253.1905059814453,2070
2002-07-31,285.0,328.79998779296875,285.0,311.1000061035156,246.45672607421875,2354
2002-08-01,322.25,340.0,320.0,323.5,256.2800598144531,4984
2002-08-02,324.0,330.0,317.04998779296875,327.95001220703125,259.8054504394531,1558
2002-08-05,330.0,335.70001220703125,330.0,334.95001220703125,265.3508605957031,2551
2002-08-06,331.04998779296875,333.25,327.0,329.6000061035156,261.11260986328125,1038
2002-08-07,332.0,334.0,329.0,329.20001220703125,260.79571533203125,1712
2002-08-08,329.20001220703125,329.70001220703125,320.0,320.6499938964844,254.02239990234375,2087
2002-08-09,321.70001220703125,326.8999938964844,321.3999938964844,325.3999938964844,257.7852478027344,825
2002-08-12,328.5,329.95001220703125,325.0,328.1499938964844,259.9638671875,268
2002-08-13,329.8999938964844,331.95001220703125,328.3999938964844,330.54998779296875,261.8652038574219,268
2002-08-14,330.0,335.0,325.70001220703125,332.1000061035156,263.0931701660156,497
2002-08-15,332.1000061035156,332.1000061035156,332.1000061035156,332.1000061035156,263.0931701660156,0
2002-08-16,331.04998779296875,338.0,331.04998779296875,334.20001220703125,264.7567138671875,465
2002-08-19,359.8999938964844,359.8999938964844,326.1000061035156,327.1499938964844,259.1717834472656,1995
2002-08-20,331.0,334.8999938964844,331.0,333.79998779296875,264.4398498535156,569
2002-08-21,322.20001220703125,333.95001220703125,322.20001220703125,330.5,261.82562255859375,483
2002-08-22,322.1000061035156,331.0,322.1000061035156,326.8500061035156,258.93402099609375,367
2002-08-23,329.0,335.0,326.5,328.25,260.0430908203125,1169
2002-08-26,326.1499938964844,335.0,326.1499938964844,334.3500061035156,264.8756103515625,652
2002-08-27,330.04998779296875,330.04998779296875,325.0,326.04998779296875,258.3001708984375,956
2002-08-28,326.1499938964844,331.0,325.0,325.29998779296875,257.7061462402344,533
2002-08-29,326.04998779296875,327.95001220703125,322.0,322.8500061035156,255.76522827148438,887
2002-08-30,325.0,330.0,325.0,325.45001220703125,257.82489013671875,99
2002-09-02,326.5,329.8999938964844,325.0,325.0,257.4684143066406,487
2002-09-03,322.3500061035156,328.0,322.1000061035156,322.95001220703125,255.84446716308594,651
2002-09-04,322.1000061035156,324.95001220703125,317.0,319.3500061035156,252.9925079345703,672
2002-09-05,321.1499938964844,321.1499938964844,318.04998779296875,318.8999938964844,252.635986328125,600
2002-09-06,319.1000061035156,320.0,315.0,315.1499938964844,249.6651611328125,1471
2002-09-09,320.0,320.0,316.8999938964844,318.20001220703125,252.08145141601562,584
2002-09-10,318.20001220703125,318.20001220703125,318.20001220703125,318.20001220703125,252.08145141601562,0
2002-09-11,327.0,330.0,326.1499938964844,328.25,260.0430908203125,803
2002-09-12,330.0,330.0,320.0,328.3500061035156,260.122314453125,1408
2002-09-13,324.0,324.8999938964844,319.25,320.54998779296875,253.943115234375,1435
2002-09-16,323.0,340.0,322.1000061035156,334.20001220703125,264.7567138671875,2016
2002-09-17,333.0,337.8500061035156,325.1000061035156,327.45001220703125,259.40936279296875,728
2002-09-18,326.1499938964844,329.0,321.0,321.70001220703125,254.85415649414062,509
2002-09-19,321.95001220703125,321.95001220703125,313.25,314.8500061035156,249.427490234375,571
2002-09-20,310.0,318.95001220703125,310.0,316.0,250.33851623535156,799
2002-09-23,320.0,320.0,313.25,314.04998779296875,248.79373168945312,697
2002-09-24,319.1499938964844,325.0,301.0,305.3999938964844,241.94102478027344,2571
2002-09-25,300.3500061035156,314.5,300.0,303.29998779296875,240.27745056152344,17768
2002-09-26,307.0,307.95001220703125,301.0,304.29998779296875,241.06959533691406,735
2002-09-27,309.6499938964844,318.0,309.6499938964844,315.8500061035156,250.21971130371094,1017
2002-09-30,315.0,315.0,305.0,307.25,243.40672302246094,902
2002-10-01,306.5,307.3999938964844,305.0,305.29998779296875,241.8619384765625,625
2002-10-02,305.29998779296875,305.29998779296875,305.29998779296875,305.29998779296875,241.8619384765625,0
2002-10-03,305.25,305.25,297.1000061035156,299.5,237.2670440673828,2042
2002-10-04,304.95001220703125,304.95001220703125,296.25,301.54998779296875,238.8910675048828,462
2002-10-07,301.04998779296875,305.0,300.79998779296875,302.6000061035156,239.7229461669922,484
2002-10-08,303.0,308.6499938964844,302.0,304.29998779296875,241.06959533691406,552
2002-10-09,304.6499938964844,308.3500061035156,304.0,305.1499938964844,241.74305725097656,778
2002-10-10,304.0,304.0,298.0,300.0,237.66317749023438,921
2002-10-11,300.5,301.0,298.6000061035156,300.79998779296875,238.29696655273438,1423
2002-10-14,302.0,302.0,290.29998779296875,293.04998779296875,232.15731811523438,1077
2002-10-15,293.04998779296875,293.04998779296875,293.04998779296875,293.04998779296875,232.15731811523438,0
2002-10-16,310.0,310.0,293.04998779296875,293.3999938964844,232.43455505371094,953
2002-10-17,297.0,297.0,287.1499938964844,289.3500061035156,229.2261962890625,1473
2002-10-18,295.0,296.20001220703125,292.20001220703125,295.04998779296875,233.74176025390625,1038
2002-10-21,293.0,293.0,290.1000061035156,291.79998779296875,231.16700744628906,962
2002-10-22,292.04998779296875,293.45001220703125,280.1000061035156,283.70001220703125,224.7501220703125,2434
2002-10-23,278.29998779296875,296.95001220703125,278.29998779296875,294.3999938964844,233.226806640625,2835
2002-10-24,298.6499938964844,298.6499938964844,293.1000061035156,295.29998779296875,233.93978881835938,989
2002-10-25,293.0,299.5,289.95001220703125,295.3999938964844,234.0189971923828,346
2002-10-28,309.0,309.0,290.0,291.79998779296875,231.16700744628906,306
2002-10-29,281.1000061035156,305.0,281.1000061035156,303.1499938964844,240.1586151123047,1225
2002-10-30,305.0,312.0,304.0,306.6499938964844,242.9313201904297,967
2002-10-31,306.04998779296875,310.70001220703125,301.0,303.70001220703125,240.59432983398438,1084
2002-11-01,301.1499938964844,302.0,298.0,298.0,236.0788116455078,899
2002-11-04,300.0,302.0,299.1000061035156,300.04998779296875,237.7027587890625,1156
2002-11-05,300.0,300.0,295.70001220703125,296.79998779296875,235.1280975341797,1265
2002-11-06,296.79998779296875,296.79998779296875,296.79998779296875,296.79998779296875,235.1280975341797,0
2002-11-07,307.95001220703125,307.95001220703125,294.0,299.95001220703125,237.62355041503906,1063
2002-11-08,300.0,300.0,295.20001220703125,296.8500061035156,235.16770935058594,1744
2002-11-11,296.29998779296875,300.0,291.25,297.75,235.88067626953125,862
2002-11-12,292.79998779296875,299.0,292.1000061035156,298.0,236.0788116455078,1638
2002-11-13,292.04998779296875,303.0,292.04998779296875,299.0,236.8709716796875,153
2002-11-14,297.0,301.0,295.25,299.20001220703125,237.0293731689453,303
2002-11-15,299.95001220703125,304.5,298.5,299.3999938964844,237.1878204345703,543
2002-11-18,300.0,300.0,295.0,298.54998779296875,236.51441955566406,894
2002-11-19,298.54998779296875,298.54998779296875,298.54998779296875,298.54998779296875,236.51441955566406,0
2002-11-20,297.04998779296875,300.0,290.0,295.3999938964844,234.0189971923828,1115
2002-11-21,299.5,304.0,296.0,299.0,236.8709716796875,595
2002-11-22,300.0,300.0,296.5,297.8999938964844,235.9995574951172,585
2002-11-25,300.95001220703125,303.75,298.1000061035156,303.54998779296875,240.4755096435547,1921
2002-11-26,302.20001220703125,304.0,301.5,301.54998779296875,238.8910675048828,1410
2002-11-27,311.29998779296875,315.0,305.0,312.04998779296875,247.20928955078125,3280
2002-11-28,313.1000061035156,330.0,313.04998779296875,321.25,254.4977264404297,3959
2002-11-29,326.0,330.0,318.04998779296875,320.0,253.50743103027344,2463
2002-12-02,324.5,325.0,319.0,323.6499938964844,256.39892578125,693
2002-12-03,313.0,328.0,313.0,325.8500061035156,258.141845703125,4647
2002-12-04,317.1499938964844,322.54998779296875,312.25,316.79998779296875,250.97225952148438,833
2002-12-05,319.25,325.0,310.1000061035156,320.1000061035156,253.5865936279297,1265
2002-12-06,322.95001220703125,323.0,317.04998779296875,319.3999938964844,253.03208923339844,1129
2002-12-09,317.0,319.79998779296875,312.29998779296875,317.75,251.72491455078125,1616
2002-12-10,315.25,331.0,315.0,328.29998779296875,260.08270263671875,1400
2002-12-11,320.04998779296875,330.0,320.04998779296875,325.1000061035156,257.5476379394531,2111
