Date,Open,High,Low,Close,Adj Close,Volume
2022-09-06,508.70001220703125,549.0,448.0,462.3999938964844,462.3999938964844,26837695
2022-09-07,459.79998779296875,474.8999938964844,438.04998779296875,451.6499938964844,451.6499938964844,6692726
2022-09-08,457.0,462.8500061035156,446.5,453.04998779296875,453.04998779296875,1777443
2022-09-09,458.0,458.0,423.75,430.3999938964844,430.3999938964844,1488527
2022-09-12,429.0,429.04998779296875,404.79998779296875,407.75,407.75,1848396
2022-09-13,410.0,436.8999938964844,407.04998779296875,424.6499938964844,424.6499938964844,2725630
2022-09-14,414.8999938964844,421.70001220703125,410.20001220703125,411.79998779296875,411.79998779296875,873939
2022-09-15,413.8999938964844,423.0,407.8500061035156,409.1499938964844,409.1499938964844,681335
2022-09-16,410.0,414.1499938964844,388.0,395.54998779296875,395.54998779296875,642712
2022-09-19,396.0,402.95001220703125,386.1499938964844,389.45001220703125,389.45001220703125,509436
2022-09-20,398.0,417.95001220703125,393.3500061035156,402.8999938964844,402.8999938964844,974664
2022-09-21,400.29998779296875,410.6499938964844,390.5,392.25,392.25,426519
2022-09-22,390.1000061035156,399.45001220703125,389.04998779296875,391.95001220703125,391.95001220703125,307885
2022-09-23,394.95001220703125,394.95001220703125,385.6000061035156,388.3500061035156,388.3500061035156,297626
2022-09-26,387.8999938964844,387.8999938964844,365.0,366.8999938964844,366.8999938964844,367723
2022-09-27,370.1000061035156,383.45001220703125,370.1000061035156,375.25,375.25,228650
2022-09-28,371.0,374.8999938964844,364.54998779296875,366.70001220703125,366.70001220703125,151683
2022-09-29,374.8500061035156,381.79998779296875,368.0,369.3999938964844,369.3999938964844,314609
2022-09-30,370.0,380.8500061035156,366.20001220703125,372.6000061035156,372.6000061035156,253218
2022-10-03,372.6000061035156,378.0,367.0,368.79998779296875,368.79998779296875,409371
2022-10-04,374.0,376.0,364.0,365.29998779296875,365.29998779296875,205203
2022-10-06,367.29998779296875,379.1000061035156,365.0,375.1499938964844,375.1499938964844,447338
2022-10-07,374.0,378.3999938964844,370.29998779296875,374.75,374.75,184405
2022-10-10,370.54998779296875,373.95001220703125,366.29998779296875,368.5,368.5,176765
2022-10-11,370.0,394.5,368.8999938964844,391.8500061035156,391.8500061035156,648458
2022-10-12,388.1000061035156,394.75,378.0,390.25,390.25,295696
2022-10-13,389.95001220703125,393.70001220703125,381.25,386.79998779296875,386.79998779296875,148129
2022-10-14,393.0,410.8999938964844,385.79998779296875,399.70001220703125,399.70001220703125,859279
2022-10-17,398.29998779296875,409.3999938964844,395.8500061035156,405.79998779296875,405.79998779296875,355141
2022-10-18,403.0,413.6499938964844,400.0,402.0,402.0,306611
2022-10-19,402.95001220703125,409.0,395.6499938964844,398.70001220703125,398.70001220703125,218134
2022-10-20,396.5,414.45001220703125,394.54998779296875,411.8999938964844,411.8999938964844,569142
2022-10-21,413.0,413.8999938964844,400.1000061035156,401.54998779296875,401.54998779296875,111891
2022-10-24,404.79998779296875,418.0,401.1000061035156,414.54998779296875,414.54998779296875,178157
2022-10-25,412.5,413.95001220703125,406.29998779296875,408.1000061035156,408.1000061035156,116482
2022-10-27,409.0,431.8999938964844,407.8999938964844,429.8500061035156,429.8500061035156,733962
2022-10-28,432.95001220703125,433.0,415.04998779296875,419.3999938964844,419.3999938964844,221120
2022-10-31,422.70001220703125,428.0,415.5,418.6499938964844,418.6499938964844,182737
2022-11-01,419.29998779296875,420.20001220703125,406.45001220703125,407.8500061035156,407.8500061035156,170133
2022-11-02,409.6499938964844,413.95001220703125,404.0,406.1000061035156,406.1000061035156,188453
2022-11-03,409.6499938964844,410.54998779296875,399.5,404.6499938964844,404.6499938964844,187121
2022-11-04,409.8999938964844,449.0,407.1499938964844,438.04998779296875,438.04998779296875,1087711
2022-11-07,452.0,457.6000061035156,430.04998779296875,433.70001220703125,433.70001220703125,566070
2022-11-09,434.70001220703125,439.5,418.6499938964844,421.25,421.25,236823
2022-11-10,420.0,421.25,401.0,405.20001220703125,405.20001220703125,228531
2022-11-11,410.0,414.0,392.0,394.45001220703125,394.45001220703125,293743
2022-11-14,400.0,401.79998779296875,384.0,385.70001220703125,385.70001220703125,195484
2022-11-15,389.0,389.0,380.0,380.6000061035156,380.6000061035156,143703
2022-11-16,384.95001220703125,386.54998779296875,375.5,378.0,378.0,270307
2022-11-17,380.0,382.0,362.8500061035156,371.1499938964844,371.1499938964844,275629
2022-11-18,375.0,384.95001220703125,372.20001220703125,381.0,381.0,151413
