"Date","Open","High","Low","Close"
"31 Dec 2021","-","-","-","10705.17"
"30 Dec 2021","-","-","-","10520.55"
"29 Dec 2021","-","-","-","10519.91"
"28 Dec 2021","-","-","-","10546.08"
"27 Dec 2021","-","-","-","10430.46"
"24 Dec 2021","-","-","-","10378.90"
"23 Dec 2021","-","-","-","10442.70"
"22 Dec 2021","-","-","-","10371.75"
"21 Dec 2021","-","-","-","10193.26"
"20 Dec 2021","-","-","-","10026.34"
"17 Dec 2021","-","-","-","10327.29"
"16 Dec 2021","-","-","-","10540.99"
"15 Dec 2021","-","-","-","10546.18"
"14 Dec 2021","-","-","-","10629.48"
"13 Dec 2021","-","-","-","10658.87"
"10 Dec 2021","-","-","-","10693.00"
"09 Dec 2021","-","-","-","10692.64"
"08 Dec 2021","-","-","-","10724.33"
"07 Dec 2021","-","-","-","10562.41"
"06 Dec 2021","-","-","-","10313.58"
"03 Dec 2021","-","-","-","10541.63"
"02 Dec 2021","-","-","-","10534.90"
"01 Dec 2021","-","-","-","10400.45"
"30 Nov 2021","-","-","-","10276.55"
"29 Nov 2021","-","-","-","10274.02"
"26 Nov 2021","-","-","-","10233.44"
"25 Nov 2021","-","-","-","10658.04"
"24 Nov 2021","-","-","-","10599.34"
"23 Nov 2021","-","-","-","10694.91"
"22 Nov 2021","-","-","-","10567.45"
"18 Nov 2021","-","-","-","10858.12"
"17 Nov 2021","-","-","-","11075.32"
"16 Nov 2021","-","-","-","11081.80"
"15 Nov 2021","-","-","-","11080.93"
"12 Nov 2021","-","-","-","11115.85"
"11 Nov 2021","-","-","-","11068.59"
"10 Nov 2021","-","-","-","11045.13"
"09 Nov 2021","-","-","-","11152.24"
"08 Nov 2021","-","-","-","11110.13"
"04 Nov 2021","-","-","-","10936.33"
"03 Nov 2021","-","-","-","10875.83"
"02 Nov 2021","-","-","-","10884.43"
"01 Nov 2021","-","-","-","10881.89"
"29 Oct 2021","-","-","-","10672.04"
"28 Oct 2021","-","-","-","10637.04"
"27 Oct 2021","-","-","-","10932.53"
"26 Oct 2021","-","-","-","10993.73"
"25 Oct 2021","-","-","-","10689.61"
"22 Oct 2021","-","-","-","10814.83"
"21 Oct 2021","-","-","-","10974.92"
